"","Prevalence.Estimate.Name","URL","Country.or.Area","Serosurvey.sample.size","Test.positive.size","Last.collection.day","Test.type","type_no","X","Denominator.Value","Serum.positive.prevalence","Sampling.End.Date","Test.Manufacturer"
"1","200801_Afghanistan_AfghanistanMinistryofPublicHealth","https://moph.gov.af/sites/default/files/2020-08/Final%20COVID-19%20Survey%20English%20Report.pdf","Afghanistan",9514,NA,"20.06.15.","",NA,NA,9514,"31.50%","2020년 6월 15일",NA
"2","","","",NA,NA,"","",NA,NA,NA,"","",""
"3","210521_Andorra_ISGlobal_Overall","https://www.sciencedirect.com/science/article/pii/S266677622100096X","Andorra",70389,6816,"20.5.14.","",1,NA,72964,"11.00%","2020년 5월 28일","Zhuhai Livzon Diagnostics Inc"
"4","","","Andorra",63708,5433,"20.5.28.","",1,NA,NA,"","",""
"5","201211_Austria_StatistikAustria_overall_PopAdj","http://www.statistik.at/wcm/idc/idcplg?IdcService=GET_PDF_FILE&dDocName=124957","Austria",2229,92,"20.11.14.","",NA,NA,2229,"4.70%","2020년 11월 14일",NA
"6","","","",NA,NA,"","",NA,NA,NA,"","",""
"7","","","",NA,NA,"","",NA,NA,NA,"","",""
"8","","","",NA,NA,"","",NA,NA,NA,"","",""
"9","","","",NA,NA,"","",NA,NA,NA,"","",""
"10","","","",NA,NA,"","",NA,NA,NA,"","",""
"11","","","",NA,NA,"","",NA,NA,NA,"","",""
"12","","","",NA,NA,"","",NA,NA,NA,"","",""
"13","210604_Srpska_InstituteforTransfusionMedicine_Primary","http://dx.doi.org/10.2298/VSP200122059G","Bosnia and Herzegovina",807,22,"20.07.16.","VIDAS SARS-CoV-2 IgG, produced by Bi- omerieux",NA,NA,807,"2.70%","2020년 7월 16일","Biomerieux"
"14","210624_Brazil_UniversidadeFederalDePelotas_overall","https://dx.doi.org/10.1038/s41598-021-92775-y","Brazil",33205,849,"20.06.24.","",7,NA,31869,"2.70%","2020년 6월 24일","Guangzhou Wondfo Biotech Co., Ltd"
"15","210618_Brazil_UniversidadeFederaldePelotas_primary","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8225319/","Brazil",89362,2064,"20.06.23.","",7,NA,89362,"2.30%","2020년 6월 23일","Guangzhou Wondfo Biotech Co.， Ltd"
"16","210108_CapeVerde_MestreEmSaúdeEDesenvolvimento_overall","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3762489","Cabo Verde",5348,21,"20.7.4.","Wondfo ; IgG/IgM ; Lateral Flow",7,NA,5348,"0.40%","2020년 7월 4일","Guangzhou Wondfo Biotech Co., Ltd"
