author,vaccine,dose_number,dose,outcome,country,population,VE ,LCI,UCI,Variant,citation
Berec,Janssen,1,final,infection,Czechia,,68,66,70,,https://www.medrxiv.org/content/10.1101/2021.12.10.21267590v1
de Gier,Janssen,1,final,infection,Netherlands,HHC of cases,12,-71,54,alpha,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8343550/
Irizarry,Janssen,1,final,infection,Puerto Rico,,62,54,68,,
Barlow,Janssen,1,final,infection,USA,,51,-2,76,delta,https://www.medrxiv.org/content/10.1101/2021.08.30.21262446v1
Corchado-Garcia,Janssen,1,final,infection,USA,,74.24,64.9,81.6,,https://jamanetwork.com/journals/jamanetworkopen/article-abstract/2785664
Polinski,Janssen,1,final,infection,USA,,79,77,80,,https://www.medrxiv.org/content/10.1101/2021.09.10.21263385v2
Polinski,Janssen,1,final,infection,USA,,79,75,83,delta,https://www.medrxiv.org/content/10.1101/2021.09.10.21263385v2
Voko,Gamaleya,2,final,infection,Hungary,,85.7,84.3,86.9,,https://reader.elsevier.com/reader/sd/pii/S1198743X2100639X?token=4CE1003BD96499A0A5901F44F08F2BCC1BCE6C6DA141737147D6B5C91F55FF4E32A72DD30DA3177D6EB749C8E6F907A4&originRegion=us-east-1&originCreation=20221003063519
Voko,Sinopharm,2,final,infection,Hungary,,68.7,67.2,70.1,,https://reader.elsevier.com/reader/sd/pii/S1198743X2100639X?token=4CE1003BD96499A0A5901F44F08F2BCC1BCE6C6DA141737147D6B5C91F55FF4E32A72DD30DA3177D6EB749C8E6F907A4&originRegion=us-east-1&originCreation=20221003063519
Jara,Sinovac,1,1,infection,Chile,,15.5,14.2,16.8,,https://www.nejm.org/doi/full/10.1056/nejmoa2107715
Jara,Sinovac,2,final,infection,Chile,,65.9,65.2,66.6,,https://www.nejm.org/doi/full/10.1056/nejmoa2107715
Suah,Sinovac,2,final,infection,Malaysia,,74.5,70.6,78,,https://www.sciencedirect.com/science/article/pii/S1201971222001679
Carazo,Pfizer,1,1,infection,Canada,HCW,70.3,68.1,72.4,,https://www.medrxiv.org/content/10.1101/2021.07.19.21260445v1
Carazo,Pfizer,2,final,infection,Canada,HCW,85.5,80.4,89.3,,https://www.medrxiv.org/content/10.1101/2021.07.19.21260445v1
Carazo,Moderna,1,1,infection,Canada,HCW,68.7,59.5,75.9,,https://www.medrxiv.org/content/10.1101/2021.07.19.21260445v1
Carazo,Moderna,2,final,infection,Canada,HCW,84.1,34.9,96.1,,https://www.medrxiv.org/content/10.1101/2021.07.19.21260445v1
Baum,AstraZeneca,1,1,infection,Finland,chronically ill,42,32,50,,https://www.medrxiv.org/content/10.1101/2021.06.21.21258686v1
Voko,AstraZeneca,2,final,infection,Hungary,,71.5,69.2,73.6,,
Voko,Pfizer,2,final,infection,Hungary,,83.3,82.6,83.9,,
Voko,Moderna,2,final,infection,Hungary,,88.7,86.6,90.4,,
Flacco,AstraZeneca,1,1,infection,Italy,,95,92,97,,
Flacco,Moderna,1,1,infection,Italy,,93,74,98,,
Flacco,Pfizer,1,1,infection,Italy,,55,40,66,,
Flacco,Pfizer,2,final,infection,Italy,,98,97,99,,
de Gier,AstraZeneca,1,1,infection,Netherlands,,2,-11,14,,
de Gier,AstraZeneca,2,final,infection,Netherlands,,87,77,93,,
de Gier,Pfizer,1,1,infection,Netherlands,,-18,-43,2,,
de Gier,Pfizer,2,final,infection,Netherlands,,65,60,70,,
de Gier,Moderna,1,1,infection,Netherlands,,33,-27,64,,
de Gier,Moderna,2,final,infection,Netherlands,,91,79,97,,
Sheikh,Pfizer,1,1,infection,Scotland,,38,29,45,,
Sheikh,Pfizer,2,final,infection,Scotland,,92,90,93,,
Sheikh,AstraZeneca,1,1,infection,Scotland,,37,32,42,,
Sheikh,AstraZeneca,2,final,infection,Scotland,,73,66,78,,
Sheikh,Pfizer,1,1,infection,Scotland,,30,17,41,,
Sheikh,Pfizer,2,final,infection,Scotland,,79,75,82,,
Sheikh,AstraZeneca,1,1,infection,Scotland,,18,9,25,,
Sheikh,AstraZeneca,2,final,infection,Scotland,,60,53,66,,
Amirthalingam,Pfizer,1,1,infection,UK,,42,31,52,,
Amirthalingam,Pfizer,2,final,infection,UK,,77,56,88,,
Amirthalingam,Pfizer,2,1,infection,UK,,90,83,94,,
Amirthalingam,Pfizer,1,final,infection,UK,,53,48,58,,
Amirthalingam,Pfizer,2,final,infection,UK,,77,66,85,,
Amirthalingam,Pfizer,2,final,infection,UK,,89,86,92,,
Amirthalingam,Pfizer,1,1,infection,UK,,51,47,55,,
Amirthalingam,Pfizer,2,final,infection,UK,,88,67,96,,
