IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHS9_86,Population (in thousands) total,numeric,EUR,Europe,Country,CYP,Cyprus,Year,2016,true,,,,,,,,,,,,,1170,,,,,,"1,170",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2016,true,,,,,,,,,,,,,1221,,,,,,"1,221",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,AFR,Africa,Country,MUS,Mauritius,Year,2016,true,,,,,,,,,,,,,1262,,,,,,"1,262",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2016,true,,,,,,,,,,,,,1269,,,,,,"1,269",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,EUR,Europe,Country,EST,Estonia,Year,2016,true,,,,,,,,,,,,,1312,,,,,,"1,312",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,SEAR,South-East Asia,Country,IND,India,Year,2016,true,,,,,,,,,,,,,1324171,,,,,,"1,324,171",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2016,true,,,,,,,,,,,,,1343,,,,,,"1,343",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2016,true,,,,,,,,,,,,,1365,,,,,,"1,365",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,WPR,Western Pacific,Country,CHN,China,Year,2016,true,,,,,,,,,,,,,1411415,,,,,,"1,411,415",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2016,true,,,,,,,,,,,,,1425,,,,,,"1,425",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2016,true,,,,,,,,,,,,,1816,,,,,,"1,816",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,EUR,Europe,Country,LVA,Latvia,Year,2016,true,,,,,,,,,,,,,1971,,,,,,"1,971",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,AFR,Africa,Country,GAB,Gabon,Year,2016,true,,,,,,,,,,,,,1980,,,,,,"1,980",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,EUR,Europe,Country,PRT,Portugal,Year,2016,true,,,,,,,,,,,,,10372,,,,,,"10,372",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,AFR,Africa,Country,BDI,Burundi,Year,2016,true,,,,,,,,,,,,,10524,,,,,,"10,524",,,EN,2018-03-14T15:00:00.000Z
WHS9_86,Population (in thousands) total,numeric,EUR,Europe,Country,CZE,Czechia,Year,2016,true,,,,,,,,,,,,,10611,,,,,,"10,611",,,EN,2018-03-14T15:00:00.000Z
