country,vaccine,doses
Afghanistan,AstraZeneca,"268,800"
Afghanistan,Janssen,"3,312,050"
Afghanistan,Covishield,"968,000"
Afghanistan,Sinopharm,"700,000"
Albania,AstraZeneca,"120,000"
Albania,Sputnik V,"60,000"
Albania,Pfizer/BioNTech,"121,680"
Albania,Covishield,"50,000"
Albania,Sinovac,"560,000"
Albania,Unknown,"469,756"
Algeria,AstraZeneca,"1,123,200"
Algeria,Sputnik V,"300,000"
Algeria,Covishield,"50,000"
Algeria,Sinopharm,"200,000"
Algeria,Sinovac,"2,900,000"
Andorra,AstraZeneca,"26,400"
Andorra,Unknown,"82,349"
Angola,Sputnik V,"65,000"
Angola,Pfizer/BioNTech,"100,620"
Angola,Covishield,"1,119,000"
Angola,Sinopharm,"200,000"
Angola,Unknown,"2,780,118"
Anguilla,Unknown,"18,193"
Antigua and Barbuda,AstraZeneca,"40,800"
Antigua and Barbuda,Covishield,"40,000"
Antigua and Barbuda,Unknown,"29,518"
Argentina,AstraZeneca,"14,597,400"
Argentina,Sputnik V,"16,991,350"
Argentina,Moderna,"3,500,000"
Argentina,Covishield,"580,000"
Argentina,Sinopharm,"14,000,000"
Armenia,AstraZeneca,"124,800"
Armenia,Sputnik V,"29,000"
Armenia,Unknown,"142,890"
Aruba,Unknown,"139,566"
Australia,AstraZeneca,"1,100,000"
Australia,Pfizer/BioNTech,"1,941,630"
Australia,Unknown,"11,108,580"
Austria,AstraZeneca,"2,502,200"
Austria,Janssen,"320,400"
Austria,Moderna,"1,176,000"
Austria,Pfizer/BioNTech,"7,349,343"
Azerbaijan,AstraZeneca,"259,200"
Azerbaijan,Sputnik V,"80,000"
Azerbaijan,Pfizer/BioNTech,"218,790"
Azerbaijan,Sinovac,"500,000"
Azerbaijan,Unknown,"4,838,243"
Bahamas,AstraZeneca,"100,800"
Bahamas,Covishield,"20,000"
Bahamas,Unknown,"88,596"
Bahrain,AstraZeneca,"62,400"
Bahrain,Pfizer/BioNTech,"7,020"
Bahrain,Covishield,"100,000"
Bahrain,Sinopharm,"300,000"
Bahrain,Unknown,"1,972,765"
Bangladesh,AstraZeneca,"1,643,300"
Bangladesh,Moderna,"5,500,060"
