country,vaccine,doses
Afghanistan,AstraZeneca,268800
Afghanistan,Janssen,3312050
Afghanistan,Covishield,968000
Afghanistan,Sinopharm,700000
Albania,AstraZeneca,120000
Albania,Sputnik V,60000
Albania,Pfizer/BioNTech,121680
Albania,Covishield,50000
Albania,Sinovac,560000
Albania,Unknown,469756
Algeria,AstraZeneca,1123200
Algeria,Sputnik V,300000
Algeria,Covishield,50000
Algeria,Sinopharm,200000
Algeria,Sinovac,2900000
Andorra,AstraZeneca,26400
Andorra,Unknown,82349
Angola,Sputnik V,65000
Angola,Pfizer/BioNTech,100620
Angola,Covishield,1119000
Angola,Sinopharm,200000
Angola,Unknown,2780118
Anguilla,Unknown,18193
Antigua and Barbuda,AstraZeneca,40800
Antigua and Barbuda,Covishield,40000
Antigua and Barbuda,Unknown,29518
Argentina,AstraZeneca,14597400
Argentina,Sputnik V,16991350
Argentina,Moderna,3500000
Argentina,Covishield,580000
Argentina,Sinopharm,14000000
Armenia,AstraZeneca,124800
Armenia,Sputnik V,29000
Armenia,Unknown,142890
Aruba,Unknown,139566
Australia,AstraZeneca,1100000
Australia,Pfizer/BioNTech,1941630
Australia,Unknown,11108580
Austria,AstraZeneca,2502200
Austria,Janssen,320400
Austria,Moderna,1176000
Austria,Pfizer/BioNTech,7349343
Azerbaijan,AstraZeneca,259200
Azerbaijan,Sputnik V,80000
Azerbaijan,Pfizer/BioNTech,218790
Azerbaijan,Sinovac,500000
Azerbaijan,Unknown,4838243
Bahamas,AstraZeneca,100800
Bahamas,Covishield,20000
Bahamas,Unknown,88596
Bahrain,AstraZeneca,62400
Bahrain,Pfizer/BioNTech,7020
Bahrain,Covishield,100000
Bahrain,Sinopharm,300000
Bahrain,Unknown,1972765
Bangladesh,AstraZeneca,1643300
Bangladesh,Moderna,5500060
Bangladesh,Pfizer/BioNTech,100620
Bangladesh,Covishield,9100000
Bangladesh,Sinopharm,5100000
Barbados,AstraZeneca,67200
Barbados,Covishield,100000
Barbados,Sinopharm,30000
Belarus,Sputnik V,100000
Belarus,Sinopharm,410000
Belarus,Unknown,1870101
Belgium,AstraZeneca,2176300
Belgium,Janssen,590800
Belgium,Moderna,1309400
Belgium,Pfizer/BioNTech,9217455
